Word,Count
force,107
baptista,107
evans,107
presence,106
passion,106
bears,106
roderigo,106
bless,105
harry,105
shylock,105
green,104
chance,104
died,104
teach,104
throw,104
charmian,104
tale,104
cloten,104
castle,104
weak,103
feel,103
jest,103
on't,103
officer,103
close,103
cominius,103
pisanio,103
poins,103
dies,102
worst,102
promise,102
paper,102
awhile,102
masters,102
hamlet,102
moth,102
'gainst,101
shake,101
enemies,101
subject,101
hadst,101
health,101
quick,101
gates,101
fools,101
cap,101
honourable,101
to't,101
dauphin,101
writ,100
respect,100
feast,100
judgment,100
adieu,100
choose,100
buy,100
wolsey,100
boyet,100
princes,99
fashion,99
curse,99
danger,99
troth,99
deliver,99
gratiano,99
lysander,99
understand,98
dangerous,98
escalus,98
exeter,98
edg,98
breast,97
cade,97
hermia,97
mortal,96
wert,96
lack,96
faults,96
quarrel,96
army,96
iachimo,96
aaron,96
virtuous,95
won,95
cast,95
foolish,95
valour,95
beg,95
grumio,95
beard,94
short,94
consent,94
scorn,94
offence,94
hearing,94
plague,94
tent,94
westmoreland,94
hubert,94
lend,93
wisdom,93
fine,93
measure,93
laid,93
angry,93
worship,93
stood,93
ta'en,93
look'd,93
aufidius,93
calls,92
men's,92
forget,92
book,92
thither,92
troy,92
harm,92
order,92
witch,92
murderer,92
rosaline,92
gremio,92
aguecheek,92
golden,91
sings,91
learn,91
kingdom,91
receive,91
prison,91
lion,91
adriana,91
agamemnon,91
ariel,91
small,90
alive,90
hurt,90
pains,90
banish'd,90
turn'd,90
emperor,90
senator,90
stephano,90
year,89
perceive,89
fearful,89
treason,89
ass,89
reads,89
fluellen,89
tamora,89
forgot,88
commend,88
fled,88
grey,88
touchstone,88
judge,88
lewis,88
fresh,87
shape,87
love's,87
title,87
patient,87
jaques,87
offer,87
piece,87
birth,86
greater,86
mock,86
carry,86
humour,86
officers,86
honesty,86
dinner,86
alarum,86
corn,86
pol,86
1,85
drawn,85
glory,85
coward,85
ghost,85
wild,85
blow,85
broke,85
laugh,85
constable,85
diomedes,85
william,85
moor,85
held,84
walls,84
woman's,84
prayers,84
in't,84
trumpets,84
trumpet,84
venice,84
polixenes,84
paulina,84
whereof,83
opinion,83
street,83
wine,83
wounds,83
holds,82
blame,82
suffer,82
boys,82
citizens,82
purse,82
jack,82
belarius,82
launce,82
making,81
prisoner,81
steal,81
falls,81
stir,81
match,81
caesar's,81
safe,81
aeneas,81
lorenzo,81
blind,80
tear,80
taste,80
double,80
amen,80
manner,80
feed,80
wast,80
pucelle,80
launcelot,80
song,79
folly,79
borne,79
motion,79
wits,79
brain,79
vow,79
poison,79
e'er,79
labour,79
camp,79
rogue,79
sudden,79
brother's,79
burgundy,79
edm,79
knowledge,78
shadow,78
vain,78
desires,78
ancient,78
whiles,78
lancaster,78
tower,78
2,77
blessed,77
burn,77
view,77
quiet,77
trouble,77
excuse,77
awake,77
rise,77
smile,77
la,77
brook,77
plantagenet,77
weary,76
grows,76
precious,76
alack,76
aught,76
dark,76
fears,76
proof,76
endure,76
obey,76
dumain,76
princely,76
guiderius,76
wales,76
percy,76
cunning,75
bones,75
goodly,75
drop,75
terms,75
helen,75
brothers,75
lieutenant,75
thomas,75
peter,75
autolycus,75
mother's,74
forbid,74
cheek,74
tongues,74
struck,74
bitter,74
woo,74
occasion,74
fabian,74
shouldst,73
wound,73
wrongs,73
know'st,73
owe,73
colour,73
bond,73
safety,73
affection,73
greatness,73
knock,73
train,73
do't,73
reg,73
juliet,73
biondello,73
forgive,72
liberty,72
advantage,72
'twixt,72
proceed,72
cheer,72
dispatch,72
't,72
heels,72
approach,72
orleans,72
casca,72
ross,72
catesby,72
lavinia,72
rude,71
wealth,71
foes,71
large,71
cheeks,71
neck,71
dance,71
fellows,71
scarce,71
malice,71
blows,71
edmund,71
montague,71
aumerle,71
caliban,71
thurio,71
cruel,70
leaves,70
lo,70
stars,70
bearing,70
manners,70
beast,70
wretched,70
legs,70
athens,70
forest,70
wall,70
patroclus,70
brow,69
melancholy,69
room,69
spent,69
catch,69
choice,69
meat,69
priest,69
yonder,69
pleas'd,69
christian,69
jove,69
lepidus,69
swords,69
hang'd,69
cried,69
monster,69
archbishop,69
gaunt,69
philip,69
banquo,69
bright,68
mayst,68
rough,68
sort,68
steel,68
pure,68
fame,68
red,68
for't,68
drunk,68
madness,68
oaths,68
honours,68
embrace,68
say'st,68
volumnia,68
jew,68
richmond,68
ben,68
blunt,67
argument,67
affairs,67
story,67
creature,67
vows,67
gentlewoman,67
ways,67
led,67
chamberlain,67
spend,66
private,66
seal,66
thief,66
idle,66
guilty,66
master's,66
fain,66
throne,66
fat,66
defend,66
tribunes,66
katherine,66
gonzalo,66
depart,65
gift,65
heat,65
prepare,65
dry,65
pain,65
swift,65
thrice,65
fury,65
deserve,65
loud,65
fought,65
quoth,65
damn'd,65
murder,65
winchester,65
nestor,65
nerissa,65
theseus,65
benedick,65
rose,64
breathe,64
reasons,64
food,64
wood,64
request,64
courage,64
monstrous,64
nose,64
courtesy,64
post,64
eros,64
chain,64
england's,64
george,64
miranda,64
saturninus,64
lucetta,64
remembrance,63
secret,63
cries,63
paid,63
remain,63
leisure,63
sharp,63
forsworn,63
humble,63
diana,63
liv'd,63
wicked,63
knee,63
colours,63
proper,63
hail,63
niece,63
church,63
arviragus,63
nym,63
foe,62
evil,62
thunder,62
cross,62
wait,62
easy,62
sooner,62
tune,62
'twill,62
kneel,62
doors,62
study,62
claim,62
laer,62
mortimer,62
holofernes,62
mer,62
gate,61
lawful,61
instant,61
broken,61
finger,61
fiend,61
warlike,61
humbly,61
lady's,61
arthur,61
flavius,61
beggar,60
mend,60
wanton,60
asleep,60
fail,60
crowns,60
mowbray,60
longaville,60
trinculo,60
alcibiades,60
florizel,60
hermione,60
spring,59
offend,59
sits,59
rain,59
poet,59
jewel,59
clouds,59
dust,59
repent,59
silver,59
spite,59
clear,59
remedy,59
powers,59
discourse,59
demand,59
dreadful,59
le,59
wives,59
senators,59
merchant,59
hit,59
mayor,59
malcolm,59
jessica,59
memory,58
herald,58
single,58
stol'n,58
seat,58
stones,58
stone,58
thinks,58
aid,58
mar,58
shut,58
mere,58
spare,58
natural,58
feet,58
rivers,58
oph,58
stanley,58
alb,58
pyramus,58
nought,57
rare,57
buried,57
grown,57
forbear,57
bids,57
wretch,57
join,57
t',57
trial,57
receiv'd,57
happiness,57
meaning,57
condition,57
storm,57
fairy,57
luciana,57
sack,57
andronicus,57
sum,56
glass,56
fond,56
thrive,56
bare,56
delight,56
gain,56
betwixt,56
list,56
griefs,56
horses,56
minds,56
hopes,56
horns,56
duke's,56
rascal,56
agrippa,56
weeping,56
beatrice,56
quality,55
wide,55
table,55
turns,55
ride,55
dearest,55
absence,55
subjects,55
authority,55
countenance,55
