year,state_code,candidate,votes
2020,OK,JO JORGENSEN,24731
2020,OK,OTHER,11798
2020,OR,JOSEPH R BIDEN JR,1340383
2020,OR,DONALD J TRUMP,958448
2020,OR,JO JORGENSEN,41582
2020,OR,OTHER,33908
2020,PA,JOSEPH R BIDEN JR,3458229
2020,PA,DONALD J TRUMP,3377674
2020,PA,JO JORGENSEN,79380
2020,RI,JOSEPH R BIDEN JR,307486
2020,RI,DONALD J TRUMP,199922
2020,RI,OTHER,5296
2020,RI,JO JORGENSEN,5053
2020,SC,DONALD J TRUMP,1385103
2020,SC,JOSEPH R BIDEN JR,1091541
2020,SC,JO JORGENSEN,27916
2020,SC,OTHER,8769
2020,SD,DONALD J TRUMP,261043
2020,SD,JOSEPH R BIDEN JR,150471
2020,SD,JO JORGENSEN,11095
2020,TN,DONALD J TRUMP,1852475
2020,TN,JOSEPH R BIDEN JR,1143711
2020,TN,OTHER,57665
2020,TX,DONALD J TRUMP,5890347
2020,TX,JOSEPH R BIDEN JR,5259126
2020,TX,JO JORGENSEN,126243
2020,TX,OTHER,39340
2020,UT,DONALD J TRUMP,865139
2020,UT,JOSEPH R BIDEN JR,560282
2020,UT,JO JORGENSEN,38447
2020,UT,OTHER,31486
2020,VA,JOSEPH R BIDEN JR,2413568
2020,VA,DONALD J TRUMP,1962430
2020,VA,JO JORGENSEN,64761
2020,VA,OTHER,21841
2020,VT,JOSEPH R BIDEN JR,242826
2020,VT,DONALD J TRUMP,112708
2020,VT,OTHER,11684
2020,VT,JO JORGENSEN,3608
2020,WA,JOSEPH R BIDEN JR,2369612
2020,WA,DONALD J TRUMP,1584651
2020,WA,JO JORGENSEN,80500
2020,WA,OTHER,52868
2020,WI,JOSEPH R BIDEN JR,1630673
2020,WI,DONALD J TRUMP,1610065
2020,WI,JO JORGENSEN,38491
2020,WI,OTHER,18123
2020,WV,DONALD J TRUMP,545382
2020,WV,JOSEPH R BIDEN JR,235984
2020,WV,JO JORGENSEN,10687
2020,WV,OTHER,2599
2020,WY,DONALD J TRUMP,193559
2020,WY,JOSEPH R BIDEN JR,73491
2020,WY,JO JORGENSEN,5768
2020,WY,OTHER,5685
